Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
FOSSIL,SHB3088421 Megan Small Backpack Misty Blue,IDR 1.850.000,,No discount,https://www.banananina.co.id/bags/backpacks/shb3088421-megan-small-backpack-misty-blue-121692.html,https://media.banananina.id/catalog/product/0/0/001009136_d.jpg?v=df9e3412629d36b242936ea34a99ee42&updated=2024-12-06 06:36:47,https://media.banananina.id/catalog/product/0/1/01009136_m.jpg?v=df9e3412629d36b242936ea34a99ee42&updated=2024-12-06 06:36:47,shb3088421-megan-small-backpack-misty-blue-121692,BRAND NEW,"Made of printed pvc and polyurethane trim. The backpack features a zip closure that opens to polyester lining with interior one zip pocket, two slip pockets and exterior one zip pocket at front.",Made in Cambodia | Style number SHB3088421 | Old brass english tone hardware | Printed  pvc and polyurethane trim | Zip closure | Polyester lining | Interior 1 zip pocket | Interior 2 slip pockets | Exterior 1 zip pocket at front,New With Tag,images\backpacks\primary\SHB3088421 Megan Small Backpack Misty Blue_primary.jpg,images\backpacks\hover\SHB3088421 Megan Small Backpack Misty Blue_hover.jpg
COACH,CL458 Signature Amelia Backpack Brown Black,IDR 5.250.000,,No discount,https://www.banananina.co.id/cl458-signature-amelia-backpack-brown-black.html,https://media.banananina.id/catalog/product/0/1/01110846_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01110846_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,cl458-signature-amelia-backpack-brown-black,BRAND NEW,Made of signature coated canvas and smooth leather. The bag features a magnet closure that opens to suede lining with interior one zip pocket and one slip pocket.,Made in Vietnam | Style number : CL458 | Signature coated canvas and smooth leather | Suede lining | Interior one zip pocket | interior one slip pocket | Coach metal logo lettering,New with Tag | Completeness: Care Card,images\backpacks\primary\CL458 Signature Amelia Backpack Brown Black_primary.jpg,images\backpacks\hover\CL458 Signature Amelia Backpack Brown Black_hover.jpg
COACH,CZ599 Signature Floral Printed Court Backpack Tan Multi,IDR 5.250.000,,No discount,https://www.banananina.co.id/cz599-signature-floral-printed-court-backpack-tan-multi.html,https://media.banananina.id/catalog/product/0/1/01110808_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01110808_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,cz599-signature-floral-printed-court-backpack-tan-multi,BRAND NEW,"Made of signature coated canvas and pebbled leather. The bag features double zip closure that opens to fabric lining with interior one zip pocket, two slip pocket. Exterior two side pocket and one zip pocket at front.",Made in Vietnam | Style number : CZ599 | Signature coated canvas and pebbled leather | Fabric lining | Coach metal logo lettering | Interior one zip pocket | Interior two slip pockets | Exterior one zip pocket | Exterior two side pockets | Adjustable backpack strap,New with Tag | Completeness: Care Card,images\backpacks\primary\CZ599 Signature Floral Printed Court Backpack Tan Multi_primary.jpg,images\backpacks\hover\CZ599 Signature Floral Printed Court Backpack Tan Multi_hover.jpg
COACH,CB928 Signature Hudson Small Pack Khaki Black,IDR 3.400.000,,No discount,https://www.banananina.co.id/bags/backpacks/cb928-signature-hudson-small-pack-khaki-black-131579.html,https://media.banananina.id/catalog/product/0/0/00932488_d.jpg?v=dd70d56d4629f60d5ea60e1c8b6e37c0&updated=2024-11-28 10:06:52,https://media.banananina.id/catalog/product/0/0/00932488_m.jpg?v=dd70d56d4629f60d5ea60e1c8b6e37c0&updated=2024-11-28 10:06:52,cb928-signature-hudson-small-pack-khaki-black-131579,BRAND NEW,"Made of signature coated canvas and natural pebble leather. The bag features a flap with magnetic closure that opens to fabric lining with one slip pocket, exterior one zip pocket.",Made In India | Serial Number : CB928 | Gunmetal Tone Hardware | Signature Coated Canvas and Natural Pebble Leather Material | Flap With Magnetic Closure | Fabric Lining | One Slip Pocket | Exterior One Zip Pocket | Adjustable Strap For Crossbody Wear | Coach Metal Logo Lettering,New With Tag,images\backpacks\primary\CB928 Signature Hudson Small Pack Khaki Black_primary.jpg,images\backpacks\hover\CB928 Signature Hudson Small Pack Khaki Black_hover.jpg
KATE SPADE,X Disney Minnie 3D Flap Backpack Black Multi,IDR 3.200.000,,No discount,https://www.banananina.co.id/bags/backpacks/x-disney-minnie-3d-flap-backpack-black-multi-131577.html,https://media.banananina.id/catalog/product/0/1/01026273_d.jpg?v=63f9f925cd177063b5e5d39077dec400&updated=2024-11-28 10:06:51,https://media.banananina.id/catalog/product/0/1/01026273_m.jpg?v=63f9f925cd177063b5e5d39077dec400&updated=2024-11-28 10:06:51,x-disney-minnie-3d-flap-backpack-black-multi-131577,BRAND NEW,Made of nylon. The backpack features a flap magnetic closure that opens to two way script logo lining with interior one zip pocket and exterior one zip pocket at back.,Made in Philippines | Style Number : KG589 | Gold Tone Hardware | Magnetic Flap Closure | Fabric Lining | Interior 1 Slip Pocket | Interior 1 Zip Pocket | Exterior 1 Zip Pocket at Back | Adjustable Strap | Metal Pinmount Logo,New With Tag,images\backpacks\primary\X Disney Minnie 3D Flap Backpack Black Multi_primary.jpg,images\backpacks\hover\X Disney Minnie 3D Flap Backpack Black Multi_hover.jpg
KATE SPADE,Noel Jacquard Backpack Black Multi,IDR 3.800.000,,No discount,https://www.banananina.co.id/bags/backpacks/noel-jacquard-backpack-black-multi-131032.html,https://media.banananina.id/catalog/product/0/0/001102112_d.jpg?v=3b20cca91e5a23ded1d7b5dc6d357517&updated=2024-11-19 02:07:40,https://media.banananina.id/catalog/product/0/1/01102112_m.jpg?v=3b20cca91e5a23ded1d7b5dc6d357517&updated=2024-11-19 02:07:40,noel-jacquard-backpack-black-multi-131032,BRAND NEW,"Made of jacquard fabric and smooth leather trim. The backpack features a magnetic closure that opens to faille lining with interior one zip pocket, one slip pocket and exterior two zip pocket at front.",Made in cambodia | Style number KG241 | Silver tone hardware | Jacquard fabric and smooth leather trim | Magnetic closure | Faille lining | Interior 1 zip pocket | Interior 1 slip pocket | Exterior 2 zip pocket at front,New With Tag,images\backpacks\primary\Noel Jacquard Backpack Black Multi_primary.jpg,images\backpacks\hover\Noel Jacquard Backpack Black Multi_hover.jpg
MICHAEL KORS,Signature Sheila Medium Front Pocket Backpack Brown,IDR 3.750.000,,No discount,https://www.banananina.co.id/signature-sheila-medium-front-pocket-backpack-brown.html,https://media.banananina.id/catalog/product/0/0/00972181_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00972181_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,signature-sheila-medium-front-pocket-backpack-brown,BRAND NEW,"Made of coated canvas. The bag features a zip closure that opens to polyester lining with three slip pockets, one zip pocket, and exterior one zip pocket at front.",Made In Cambodia | Serial Number : 35F3G6HB6B | Gold-Tone Hardware | Zip Closure | Polyester Lining | Three Slip Pockets | One Zip Pocket | One Zip Pocket at Front | Adjustable Strap | Michael Kors Metal Logo,New With Tag,images\backpacks\primary\Signature Sheila Medium Front Pocket Backpack Brown_primary.jpg,images\backpacks\hover\Signature Sheila Medium Front Pocket Backpack Brown_hover.jpg
KATE SPADE,Chelsea Nylon Mini Backpack Black,IDR 3.589.000,,No discount,https://www.banananina.co.id/bags/backpacks/chelsea-nylon-mini-backpack-black.html,https://media.banananina.id/catalog/product/0/0/00951174_d.jpg?v=d27016a951281c2ec9bfd41c8cd62dba&updated=2024-11-12 10:44:46,https://media.banananina.id/catalog/product/0/0/00951174_m.jpg?v=d27016a951281c2ec9bfd41c8cd62dba&updated=2024-11-12 10:44:46,chelsea-nylon-mini-backpack-black,BRAND NEW,"Crafted from nylon with polyester lining interior material. It features an open zip closure, gold tone hardware, 1 slip pocket, 3 card slots, and 1 front zip pocket.",Made In Cambodia | Style Number : KC524 | Front zip pocket | Adjustable Backpack Wear | Metal Logo Lettering At Top Center,New With Tag,images\backpacks\primary\Chelsea Nylon Mini Backpack Black_primary.jpg,images\backpacks\hover\Chelsea Nylon Mini Backpack Black_hover.jpg
KATE SPADE,Madison Colorblock Flap Backpack Toasted Hazelnut Multi,IDR 3.750.000,,No discount,https://www.banananina.co.id/bags/backpacks/madison-colorblock-flap-backpack-toasted-hazelnut-multi-130494.html,https://media.banananina.id/catalog/product/0/0/00970815_d.jpg?v=89f8e9e7b975aec2b6d25c335373dda9&updated=2024-11-07 10:33:28,https://media.banananina.id/catalog/product/0/0/00970815_m.jpg?v=89f8e9e7b975aec2b6d25c335373dda9&updated=2024-11-07 10:33:28,madison-colorblock-flap-backpack-toasted-hazelnut-multi-130494,BRAND NEW,"Made of saffiano leather. The backpack feature a magnetic snap closure that opens to polyester lining with interior one zip pocket, one slip pocket.",Made in Philippines | Style Number KC624 | Gold Tone Hardware | Saffiano Leather | Magnetic Snap Closure | Polyester Lining | 1 Zip Pocket | 1 Slip Pocket | Adjustable Strap | Metal Pinmount Logo,New With Tag,images\backpacks\primary\Madison Colorblock Flap Backpack Toasted Hazelnut Multi_primary.jpg,images\backpacks\hover\Madison Colorblock Flap Backpack Toasted Hazelnut Multi_hover.jpg
MICHAEL KORS,Quilted Leather Medium Backpack Black,IDR 4.250.000,,No discount,https://www.banananina.co.id/bags/backpacks/quilted-leather-medium-backpack-black.html,https://media.banananina.id/catalog/product/0/1/01099846_d.jpg?v=33f0f4b014e7fa2150a3483951e79364&updated=2024-11-06 12:29:27,https://media.banananina.id/catalog/product/0/1/01099846_m.jpg?v=33f0f4b014e7fa2150a3483951e79364&updated=2024-11-06 12:29:27,quilted-leather-medium-backpack-black,BRAND NEW,"Made of smooth leather. The backpack features a zip closure that opens to polyester lining with interior one zip pocket and exterior one zip pocket at front, adjustable strap.",Made in indonesia | Style number 35R5S6HB6V | Silver tone hardware | Smooth leather | Zip closure | Polyester lining | Interior 1 zip pocket | Exterior 1 zip pocket | Michael kors metal logo lettering,New With Tag,images\backpacks\primary\Quilted Leather Medium Backpack Black_primary.jpg,images\backpacks\hover\Quilted Leather Medium Backpack Black_hover.jpg
