Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
COACH,CR355 Varsity Carry All Pouch Light Saddle,IDR 2.750.000,,No discount,https://www.banananina.co.id/bags/clutches/cr355-varsity-carry-all-pouch-light-saddle-131949.html,https://media.banananina.id/catalog/product/0/1/01040358_d.jpg?v=afb8f54dcaaa67c43da7b3f058934118&updated=2024-12-05 09:57:45,https://media.banananina.id/catalog/product/0/1/01040358_m.jpg?v=afb8f54dcaaa67c43da7b3f058934118&updated=2024-12-05 09:57:45,cr355-varsity-carry-all-pouch-light-saddle-131949,BRAND NEW,"Made of refined pebble leather with fabric lining. The pouch features an open zip closure, silver tone hardware, two slip pockets, and one front exterior zip pocket.",Made in Philippines | Style number :  CR355 | Open zip closure | Silver tone hardware | Removable wrist strap,New with Tag | Completeness: Care Card | wrist Strap,images\clutches\primary\CR355 Varsity Carry All Pouch Light Saddle_primary.jpg,images\clutches\hover\CR355 Varsity Carry All Pouch Light Saddle_hover.jpg
BALLY,Evalyn Nylon Pouch Black,IDR 3.750.000,,No discount,https://www.banananina.co.id/evalyn-nylon-pouch-black.html,https://media.banananina.id/catalog/product/0/0/00769730_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00769730_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,evalyn-nylon-pouch-black,BRAND NEW,"The B-Echo collection of womens bags and accessories is made from environmentally-friendly, GRS-certified materials with a focus on multi-functional and streamlined designs. The Evalyn pouch in black water-resistant and recycled nylon features a top zip closure, internal flat pocket and a wristlet for easy carrying.",Made In France | Style Number : EVALYN GYUG | Recycled nylon | Top zip closure | Wristlet | Water-resistant recycled nylon lining | Internal flat pocket | Width: 21.5cm/8.5in | Height: 15cm/5.9,Brand New,images\clutches\primary\Evalyn Nylon Pouch Black_primary.jpg,images\clutches\hover\Evalyn Nylon Pouch Black_hover.jpg
FOSSIL,SHB3077186 Julianna Mini Hobo Patchwork,IDR 1.550.000,,No discount,https://www.banananina.co.id/bags/clutches/shb3077186-julianna-mini-hobo-patchwork-131715.html,https://media.banananina.id/catalog/product/0/1/01008709_d.jpg?v=342badd4d504e9f3d4cbdc5570e7eee1&updated=2024-12-02 10:15:04,https://media.banananina.id/catalog/product/0/1/01008709_m.jpg?v=342badd4d504e9f3d4cbdc5570e7eee1&updated=2024-12-02 10:15:04,shb3077186-julianna-mini-hobo-patchwork-131715,BRAND NEW,"Made of leather patchwork polyurethane trim. The bag features a zip closure that opens to polyester lining with interior one zip pocket and one slip pocket, shoulder strap drop 18 cm.",Made in Cambodia | Style Number SHB3077186 KH | Old English Brass Tone Hardware | Zip Closure | Polyester Lining | Interior 1 Zip Pocket | Interior 1 Slip Pocket | Shoulder Strap Drop 18 cm | Fossil Foil Embossed Logo,New With Tag,images\clutches\primary\SHB3077186 Julianna Mini Hobo Patchwork_primary.jpg,images\clutches\hover\SHB3077186 Julianna Mini Hobo Patchwork_hover.jpg
MICHAEL KORS,Signature Cooper Stripe and Faux Leather Large Wristlet Palm,IDR 2.200.000,,No discount,https://www.banananina.co.id/bags/clutches/signature-cooper-stripe-and-faux-leather-large-wristlet-palm.html,https://media.banananina.id/catalog/product/0/0/00924266_d.jpg?v=f447514a93f1068d490a74973a6eac33&updated=2024-11-29 10:12:38,https://media.banananina.id/catalog/product/0/0/00924266_m.jpg?v=f447514a93f1068d490a74973a6eac33&updated=2024-11-29 10:12:38,signature-cooper-stripe-and-faux-leather-large-wristlet-palm,BRAND NEW,"Signature coated canvas mix leather material with logo polyester lining interior. It features an open zip closure, silver tone hardware, 1 zip pocket, 2 slip pockets and removable wrist strap.",Made in India | Style number : 37R3LCOU9U | Open zip closure | silver tone hardware,Brand New,images\clutches\primary\Signature Cooper Stripe and Faux Leather Large Wristlet Palm_primary.jpg,images\clutches\hover\Signature Cooper Stripe and Faux Leather Large Wristlet Palm_hover.jpg
FOSSIL,SHB3160186 Julianna Baguette Patchwork,IDR 1.700.000,,No discount,https://www.banananina.co.id/bags/clutches/shb3160186-julianna-baguette-patchwork.html,https://media.banananina.id/catalog/product/0/1/01012051_d.jpg?v=921f0997595a2d77f0cded3007bd8cf7&updated=2024-11-29 10:12:33,https://media.banananina.id/catalog/product/0/1/01012051_m.jpg?v=921f0997595a2d77f0cded3007bd8cf7&updated=2024-11-29 10:12:33,shb3160186-julianna-baguette-patchwork,BRAND NEW,"Made of leather. The bag features a zip closure that opens to polyester lining with interior one zip pocket, strap drop 19 cm.",Made In Cambodia | Serial Number : SHB3160186 | Old English Brass Hardware | Zip Closure | Polyester Lining | One Slip Pocket | One Zip Pocket | Strap Drop 19 cm,New With Tag,images\clutches\primary\SHB3160186 Julianna Baguette Patchwork_primary.jpg,images\clutches\hover\SHB3160186 Julianna Baguette Patchwork_hover.jpg
COACH,CR364 Nolita 19 Debossed C Smooth Leather Clutch Black,IDR 2.175.000,,No discount,https://www.banananina.co.id/checkout/cart/add/uenc/aHR0cHM6Ly93d3cuYmFuYW5hbmluYS5jby5pZC9iYWdzL2NsdXRjaGVzLmh0bWw_cD0x/product/131461/form_key/jd8cEEw171JGlWkW/,,,,,,,,,
COACH,CR828 Signature Floral Nolita 19 Khaki Multi,IDR 2.225.000,,No discount,https://www.banananina.co.id/bags/clutches/cr828-signature-floral-nolita-19-khaki-multi-131405.html,https://media.banananina.id/catalog/product/0/1/01060082_d.jpg?v=58d7c209b9168da0b2db0dbf91be038e&updated=2024-11-25 10:18:26,https://media.banananina.id/catalog/product/0/1/01060082_m.jpg?v=58d7c209b9168da0b2db0dbf91be038e&updated=2024-11-25 10:18:26,cr828-signature-floral-nolita-19-khaki-multi-131405,BRAND NEW,"Made of signature coated canvas and smooth leather. The clutch features a zip closure that openes to fabric lining with interior one slip pocket, two card slots.",Made in cambodia | Style number CR828 | Gold tone hardware | Signature coated canvas and smooth leather | Zip closure | Fabric lining | Interior 1 slip pocket | Interior 2 card slots | Coach metal logo lettering,New With Tag,images\clutches\primary\CR828 Signature Floral Nolita 19 Khaki Multi_primary.jpg,images\clutches\hover\CR828 Signature Floral Nolita 19 Khaki Multi_hover.jpg
COACH,2706 Signature Large Travel Kit Tan Black,IDR 3.500.000,,No discount,https://www.banananina.co.id/2706-signature-large-travel-kit-tan-black.html,https://media.banananina.id/catalog/product/0/1/01107013_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01107013_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,2706-signature-large-travel-kit-tan-black,BRAND NEW,Made of signature coated canvas and smooth leather. The bag features a zip closure that opens to fabric lining with interior one slip pocket.,Made in cambodia | Style number 2706 | Gunmetal tone hardware | Signature coated canvas and smooth leather | Zip closure | Fabric lining | Interior one slip pocket,New With Tag,images\clutches\primary\2706 Signature Large Travel Kit Tan Black_primary.jpg,images\clutches\hover\2706 Signature Large Travel Kit Tan Black_hover.jpg
COACH,Men 2522 Travel Kit Smooth Leather Small Black,IDR 2.250.000,,No discount,https://www.banananina.co.id/bags/clutches/men-2522-travel-kit-smooth-leather-small-black-131332.html,https://media.banananina.id/catalog/product/0/0/00969044_d.jpg?v=8210ba57c8c026bbfddb349c6d707771&updated=2024-11-25 03:26:21,https://media.banananina.id/catalog/product/0/0/00969044_s28.jpg?v=8210ba57c8c026bbfddb349c6d707771&updated=2024-11-25 03:26:21,men-2522-travel-kit-smooth-leather-small-black-131332,BRAND NEW,Made of smooth leather. The clutches feature a zip closure that opens to fabric lining with interior one slip pocket and exterior one slip pocket.,Made in Vietnam | Style number 2522 | Gunmetal tone hardware | Smooth leather | Zip closure | Fabric lining | Interior 1 slip pocket | Exterior 1 slip pocket at back,Brand new,images\clutches\primary\Men 2522 Travel Kit Smooth Leather Small Black_primary.jpg,images\clutches\hover\Men 2522 Travel Kit Smooth Leather Small Black_hover.jpg
COACH,CR364 Nolita 19 Debossed C Smooth Leather Clutch Taupe,IDR 2.175.000,,No discount,https://www.banananina.co.id/bags/clutches/cr364-nolita-19-debossed-c-smooth-leather-clutch-taupe.html,https://media.banananina.id/catalog/product/0/1/01052037_d.jpg?v=a315106ff122444e35ddb0a22f4a5102&updated=2024-11-22 11:17:39,https://media.banananina.id/catalog/product/0/1/01052037_m.jpg?v=a315106ff122444e35ddb0a22f4a5102&updated=2024-11-22 11:17:39,cr364-nolita-19-debossed-c-smooth-leather-clutch-taupe,BRAND NEW,"Made of smooth leather. The bag features a zip closure that opens to fabric lining with two card slots, strap drop 16 cm.",Made In Vietnam | Serial number :  CR364 | Silver -Tone Hardware | Zip Closure | Fabric Lining | Interior 2 Card Slots | Strap Drop 16 cm | C Embossed Logo,Brand new,images\clutches\primary\CR364 Nolita 19 Debossed C Smooth Leather Clutch Taupe_primary.jpg,images\clutches\hover\CR364 Nolita 19 Debossed C Smooth Leather Clutch Taupe_hover.jpg
