Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
COACH,89003 Signature Charlie Bucket Bag Tan Rust,IDR 5.800.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/89003-signature-charlie-bucket-bag-tan-rust-132047.html,https://media.banananina.id/catalog/product/0/1/01111341_m.jpg?v=6037d91de9ad6d7b489d2600016f7586&updated=2024-12-06 12:47:30,https://media.banananina.id/catalog/product/0/1/01111341_m.jpg?v=6037d91de9ad6d7b489d2600016f7586&updated=2024-12-06 12:47:30,89003-signature-charlie-bucket-bag-tan-rust-132047,BRAND NEW,Made of signature coated canvas and smooth leather. The bag features a turn lock closure that opens to crossgrain leather lining with interior one slip pocket.,Made in china | Style number 89003 | Old brass english tone hardware | Signature coated canvas and smooth leather | Turn lock closure | Crossgrain leather lining | Interior 1 slip pocket | Adjustable and removable long strap,New With Tag,images\crossbody\primary\89003 Signature Charlie Bucket Bag Tan Rust_primary.jpg,images\crossbody\hover\89003 Signature Charlie Bucket Bag Tan Rust_hover.jpg
COACH,1027 Signature Charlie Bucket 22 Bag Tan Rust,IDR 4.950.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/1027-signature-charlie-bucket-22-bag-tan-rust-132046.html,https://media.banananina.id/catalog/product/0/1/01111334_d.jpg?v=25cc7564b976a3955ba804c8049aeac3&updated=2024-12-06 12:47:29,https://media.banananina.id/catalog/product/0/1/01111334_m.jpg?v=25cc7564b976a3955ba804c8049aeac3&updated=2024-12-06 12:47:29,1027-signature-charlie-bucket-22-bag-tan-rust-132046,BRAND NEW,Made of signature coated canvas and smooth leather. The bag features a turn lock closure that opens to crossgrain leather lining with interior one slip pocket.,Made in china | Style number 1027 | Old brass tone hardware | Signature coated canvas and smooth leather | Turn lock closure | Crossgrain leather lining | Interior 1 slip pocket | Adjustable and removable long strap,New With Tag,images\crossbody\primary\1027 Signature Charlie Bucket 22 Bag Tan Rust_primary.jpg,images\crossbody\hover\1027 Signature Charlie Bucket 22 Bag Tan Rust_hover.jpg
COACH,1027 Signature Charlie Bucket 22 Bag Taupe Sand,IDR 4.950.000,,No discount,https://www.banananina.co.id/checkout/cart/add/uenc/aHR0cHM6Ly93d3cuYmFuYW5hbmluYS5jby5pZC9iYWdzL2Nyb3NzYm9keS1iYWdzLmh0bWw_cD0x/product/132045/form_key/5O5wPpW8aa1NdZ2n/,,,,,,,,,
KATE SPADE,Signature Spade Flower Duffle Crossbody Black Multi,IDR 2.750.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/signature-spade-flower-duffle-crossbody-black-multi-132035.html,https://media.banananina.id/catalog/product/0/1/01092914_d.jpg?v=f541e6430fba10ca5a026202d33c7175&updated=2024-12-06 12:47:19,https://media.banananina.id/catalog/product/0/1/01092914_m.jpg?v=f541e6430fba10ca5a026202d33c7175&updated=2024-12-06 12:47:19,signature-spade-flower-duffle-crossbody-black-multi-132035,BRAND NEW,"Made of Signature spade flower. The bag features an open zip closure that opens to  with two way script logo lining with interior one slip pocket, and adjustable or removable crossbody wear.",Made in Bangladesh | Style Number : KG483 | Light-Gold Tone Hardware | Zip Closure | Polyester Lining | One Slip Pocket | Double Handle Drop 11 cm | Adjustable/Removable Long Strap | Metal Pinmount Logo,New With Tag,images\crossbody\primary\Signature Spade Flower Duffle Crossbody Black Multi_primary.jpg,images\crossbody\hover\Signature Spade Flower Duffle Crossbody Black Multi_hover.jpg
KATE SPADE,Signature Spade Flower Duffle Crossbody Navy Multi,IDR 2.750.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/signature-spade-flower-duffle-crossbody-navy-multi-132034.html,https://media.banananina.id/catalog/product/0/1/01025952_d.jpg?v=f541e6430fba10ca5a026202d33c7175&updated=2024-12-06 12:47:19,https://media.banananina.id/catalog/product/0/1/01025952_m.jpg?v=f541e6430fba10ca5a026202d33c7175&updated=2024-12-06 12:47:19,signature-spade-flower-duffle-crossbody-navy-multi-132034,BRAND NEW,"Made of coated canvas. The bag features a zip closure that opens to polyester lining with one slip pocket, double handles drop 12 cm, adjustable and removable long strap.",Made in Bangladesh | Serial Number KG483 | Silver Tone Hardware | Zip Closure | Polyester Lining | One Slip Pocket | Double Handles Drop 12 cm | Adjustable and Removable Long Strap | Metal Pinmount Logo,New With Tag,images\crossbody\primary\Signature Spade Flower Duffle Crossbody Navy Multi_primary.jpg,images\crossbody\hover\Signature Spade Flower Duffle Crossbody Navy Multi_hover.jpg
KATE SPADE,Phoebe Refined Grain Leather Flap Crossbody Black,IDR 2.600.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/phoebe-refined-grain-leather-flap-crossbody-black.html,https://media.banananina.id/catalog/product/0/1/01039273_d.jpg?v=32b936823a5730f098f2cf07732484bb&updated=2024-12-06 12:47:16,https://media.banananina.id/catalog/product/0/1/01039273_m.jpg?v=32b936823a5730f098f2cf07732484bb&updated=2024-12-06 12:47:16,phoebe-refined-grain-leather-flap-crossbody-black,BRAND NEW,"Made of  grained leather. The bag features a turn lock closure that opens to jacquard lining with interior one zip pocket, one slip pocket at front and exterior one slip pocket at back.",Made in Vietnam | Serial number KF554 | Gold tone hardware | Grained leather | Turn lock closure | Jacquard lining | Interior 1 zip pocket | Interior 1 slip pocket at front | Exterior 1 slip pocket at back | Adjustable and removable long strap,Brand new,images\crossbody\primary\Phoebe Refined Grain Leather Flap Crossbody Black_primary.jpg,images\crossbody\hover\Phoebe Refined Grain Leather Flap Crossbody Black_hover.jpg
MICHAEL KORS,Mina Small Pebbled Leather Crossbody Black,IDR 2.550.000,,No discount,https://www.banananina.co.id/mina-small-pebbled-leather-crossbody-black.html,https://media.banananina.id/catalog/product/0/0/00999013_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00999013_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,mina-small-pebbled-leather-crossbody-black,BRAND NEW,"Made of pebble leather with logo polyester lining interior. The bag features an open button magnetic closure, 3 card slots, side fastening, and adjustable or removable crossbody wear.",Made in Bangladesh | Style number : 35H3S4MC1I | Open button magnetic closure | Silver tone hardware | Chain accents on 2 handles | Metal logo lettering at bottom center | Adjustable/removable crossbody wear,Brand new,images\crossbody\primary\Mina Small Pebbled Leather Crossbody Black_primary.jpg,images\crossbody\hover\Mina Small Pebbled Leather Crossbody Black_hover.jpg
KATE SPADE,X Disney Beauty And The Beast Mini Camera Crossbody Bag Cream Multi,IDR 2.450.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/x-disney-beauty-and-the-beast-mini-camera-crossbody-bag-cream-multi-132025.html,https://media.banananina.id/catalog/product/0/1/01012044_d.jpg?v=fa6429d98e3956dba767f36025046054&updated=2024-12-06 12:47:15,https://media.banananina.id/catalog/product/0/1/01012044_m.jpg?v=fa6429d98e3956dba767f36025046054&updated=2024-12-06 12:47:15,x-disney-beauty-and-the-beast-mini-camera-crossbody-bag-cream-multi-132025,BRAND NEW,"Made of coated canvas. The bag features a zip closure that opens to polyester lining with 4 card slots, 1 slip pocket, exterior 1 slip pocket at back, adjustable and removable long strap.",Made In Vietnam | Serial Number : KE656 | Gold Tone Hardware | Zip Closure | Polyester Lining | 4 Card Slots | 1 Slip Pocket | 1 Slip Pocket at Back | Removable/Adjustable Strap | Metal Pinmount Logo,New With Tag | Completeness: Long Strap,images\crossbody\primary\X Disney Beauty And The Beast Mini Camera Crossbody Bag Cream Multi_primary.jpg,images\crossbody\hover\X Disney Beauty And The Beast Mini Camera Crossbody Bag Cream Multi_hover.jpg
MICHAEL KORS,Jet Set Glam Leather Oval Crossbody Bright Red,IDR 1.850.000,,No discount,https://www.banananina.co.id/bags/crossbody-bags/jet-set-glam-leather-oval-crossbody-bright-red.html,https://media.banananina.id/catalog/product/0/1/01097600_d.jpg?v=d3065ef68ed03b70296628a0b2288b6d&updated=2024-10-23 10:05:36,https://media.banananina.id/catalog/product/0/1/01097600_m.jpg?v=d3065ef68ed03b70296628a0b2288b6d&updated=2024-10-23 10:05:36,jet-set-glam-leather-oval-crossbody-bright-red,BRAND NEW,"Made of leather embossed and saffiano leather. The bag features a zip closure that opens to polyester lining with three card slots, exterior one slip pocket at front.",Made in Indonesia | Serial number 35H3S8GC1L | Silver Tone Hardware | Zip Closure | Polyester Lining | Interior 3 Card Slots | Exterior 1 Slip Pocket at Front | Adjustable and Removable Long Strap,New With Tag,images\crossbody\primary\Jet Set Glam Leather Oval Crossbody Bright Red_primary.jpg,images\crossbody\hover\Jet Set Glam Leather Oval Crossbody Bright Red_hover.jpg
KATE SPADE,Glimmer Glitter Oval Camera Bag Mitten Pink,IDR 1.850.000,,No discount,https://www.banananina.co.id/checkout/cart/add/uenc/aHR0cHM6Ly93d3cuYmFuYW5hbmluYS5jby5pZC9iYWdzL2Nyb3NzYm9keS1iYWdzLmh0bWw_cD0x/product/132019/form_key/5O5wPpW8aa1NdZ2n/,,,,,,,,,
