Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
MARC JACOBS,4S4SCP001S02 Nylon Logo Quilted 13 Laptop Bag Black,IDR 2.500.000,,No discount,https://www.banananina.co.id/bags/laptop-bags/4s4scp001s02-nylon-logo-quilted-13-laptop-bag-black-132027.html,https://media.banananina.id/catalog/product/0/1/01066044_d.jpg?v=fa6429d98e3956dba767f36025046054&updated=2024-12-06 12:47:15,https://media.banananina.id/catalog/product/0/1/01066044_m.jpg?v=fa6429d98e3956dba767f36025046054&updated=2024-12-06 12:47:15,4s4scp001s02-nylon-logo-quilted-13-laptop-bag-black-132027,BRAND NEW,"Made of quilted nylon with nylon lining. The bag features an zip closure, silver tone hardware, no pocket, and adjustable or removable laptop bag wear.",Made in Vietnam | Style number : 4S4SCP001S02-001 | Zip closure | Silver tone hardware,New With Tag,images\laptop\primary\4S4SCP001S02 Nylon Logo Quilted 13 Laptop Bag Black_primary.jpg,images\laptop\hover\4S4SCP001S02 Nylon Logo Quilted 13 Laptop Bag Black_hover.jpg
KARL LAGERFELD,21 Rue St-Guillaume 13'/14' Macbook Computer Sleeve Black,IDR 1.500.000,,No discount,https://www.banananina.co.id/bags/laptop-bags/21-rue-st-guillaume-13-14-macbook-computer-sleeve-black-131940.html,https://media.banananina.id/catalog/product/0/0/00916105_d9.jpg?v=cba1779e52aea743ca6947cbe8697053&updated=2024-12-06 03:34:09,https://media.banananina.id/catalog/product/0/0/00916105_m9.jpg?v=cba1779e52aea743ca6947cbe8697053&updated=2024-12-06 03:34:09,21-rue-st-guillaume-13-14-macbook-computer-sleeve-black-131940,BRAND NEW,"This Karl Lagerfeld MacBook sleeve fits perfectly in Karl Lagerfelds stylish Rue St-Guillaume collection, which also includes bags and suitcases. The sleeve is made of black vegan leather with a Saffiano look.",Made In China | Style Number : KLCS14RSGSFBK | Magnetic closure | Water Resistant | Very Slim,Brand New,images\laptop\primary\21 Rue St-Guillaume 1314 Macbook Computer Sleeve Black_primary.jpg,images\laptop\hover\21 Rue St-Guillaume 1314 Macbook Computer Sleeve Black_hover.jpg
MARC JACOBS,4S3SCP004S04 Nylon Laptop Bag Black,IDR 3.750.000,,No discount,https://www.banananina.co.id/4s3scp004s04-nylon-laptop-bag-black-129377.html,https://media.banananina.id/catalog/product/0/0/00982181_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00982181_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,4s3scp004s04-nylon-laptop-bag-black-129377,BRAND NEW,Made of nylon. The laptop bag features a zip closure that opens to fabric lining.,Made in Indonesia | Style number 4S3SCP004S04 001 | Silver tone hardware | Nylon | Zip closure | Fabric lining | Adjustable and removable long strap,Brand new | Completeness: Care card,images\laptop\primary\4S3SCP004S04 Nylon Laptop Bag Black_primary.jpg,images\laptop\hover\4S3SCP004S04 Nylon Laptop Bag Black_hover.jpg
MICHAEL KORS,Signature Jet Set Travel Large Laptop Case Brown,IDR 2.500.000,,No discount,https://www.banananina.co.id/signature-jet-set-travel-large-laptop-case-brown-129355.html,https://media.banananina.id/catalog/product/0/0/00927679_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00927679_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,signature-jet-set-travel-large-laptop-case-brown-129355,BRAND NEW,"Signature coated canvas with logo polyester lining interior. It features an open zip closure, gold tone hardware and 1 slip pocket.",Made In Indonesia | Style Number : 35T1GTVN7B | Open Zip Closure | Gold Tone Hardware | Metal Logo Lettering At Top Center,Brand new | Completeness: Care card,images\laptop\primary\Signature Jet Set Travel Large Laptop Case Brown_primary.jpg,images\laptop\hover\Signature Jet Set Travel Large Laptop Case Brown_hover.jpg
MICHAEL KORS,Signature Jet Set Travel Large Laptop Case Light Cream Multi,IDR 2.300.000,,No discount,https://www.banananina.co.id/signature-jet-set-travel-large-laptop-case-light-cream-multi.html,https://media.banananina.id/catalog/product/0/0/00927686_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/0/00927686_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,signature-jet-set-travel-large-laptop-case-light-cream-multi,BRAND NEW,"Signature coated canvas with logo polyester lining interior. It features an open zip closure, gold tone hardware and 1 slip pocket.",Made In Indonesia | Style Number : 35T1GTVN7B | Open Zip Closure | Gold Tone Hardware | Metal Logo Lettering At Top Center,Brand New | Completeness: Care card,images\laptop\primary\Signature Jet Set Travel Large Laptop Case Light Cream Multi_primary.jpg,images\laptop\hover\Signature Jet Set Travel Large Laptop Case Light Cream Multi_hover.jpg
COACH,CJ652 Crossgrain Liam Compact Brief Black,IDR 4.300.000,,No discount,https://www.banananina.co.id/bags/laptop-bags/cj652-crossgrain-liam-compact-brief-black-128016.html,https://media.banananina.id/catalog/product/0/0/00981983_d7.jpg?v=c01f106b16dcd2e0e8759d0df15e6cbb&updated=2024-10-22 08:41:24,https://media.banananina.id/catalog/product/0/0/00981983_m7.jpg?v=c01f106b16dcd2e0e8759d0df15e6cbb&updated=2024-10-22 08:41:24,cj652-crossgrain-liam-compact-brief-black-128016,BRAND NEW,"Made of crossgrain leather. The bag laptop features a zip closure that opens to fabric lining with interior one zip pocket, one slip pocket and exterior one slip pocket at back.",Made in Philippines | Creed Number CJ652 | Gunmetal Tone Hardware | Crossgrain Leather | Zip Closure | Fabric Lining | 1 Zip Pocket | 1 Slip Pocket | 1 Slip Pocket at Back | Adjustable and Removable Long Strap | Coach Metal Logo Lettering,Brand new | Completeness: Care card,images\laptop\primary\CJ652 Crossgrain Liam Compact Brief Black_primary.jpg,images\laptop\hover\CJ652 Crossgrain Liam Compact Brief Black_hover.jpg
KATE SPADE,New York X Disney Minnie Universal Laptop Sleeve Black Multi,IDR 1.480.000,,No discount,https://www.banananina.co.id/bags/laptop-bags/new-york-x-disney-minnie-universal-laptop-sleeve-black-multi-126165.html,https://media.banananina.id/catalog/product/0/1/01047921_d.jpg?v=416f1295e49d1188604a5a002713789c&updated=2024-10-21 02:42:38,https://media.banananina.id/catalog/product/0/1/01047921_m.jpg?v=416f1295e49d1188604a5a002713789c&updated=2024-10-21 02:42:38,new-york-x-disney-minnie-universal-laptop-sleeve-black-multi-126165,BRAND NEW,"Made of recycled nylon with logo polyester lining. The laptop sleeve features an open zip closure, matte black and gold tone hardware.",Made in Vietnam | Style number : KG703 | Open zip closure | Metal logo lettering at top center | 1 rear eksterior slip pocket with button magnetic closure,Brand new,images\laptop\primary\New York X Disney Minnie Universal Laptop Sleeve Black Multi_primary.jpg,images\laptop\hover\New York X Disney Minnie Universal Laptop Sleeve Black Multi_hover.jpg
KATE SPADE,Madison Rose Toss Printed Laptop Sleeve Black Multi,IDR 2.250.000,,No discount,https://www.banananina.co.id/madison-rose-toss-printed-laptop-sleeve-black-multi.html,https://media.banananina.id/catalog/product/0/1/01075358_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01075358_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,madison-rose-toss-printed-laptop-sleeve-black-multi,BRAND NEW,"Made of saffiano with polyester lining. The laptop sleeve an open zip closure, gold tone hardware, and one rear slip pocket with button magnetic closure.",Made in Philippines | Style number : KE647 | Open zip closure | Gold tone hardware | Metal logo lettering at top center,Brand new,images\laptop\primary\Madison Rose Toss Printed Laptop Sleeve Black Multi_primary.jpg,images\laptop\hover\Madison Rose Toss Printed Laptop Sleeve Black Multi_hover.jpg
COACH,CK074 Ellis Nylon Sleeve Laptop Black,IDR 2.805.000,IDR 2.950.000,5%,https://www.banananina.co.id/bags/laptop-bags/ck074-ellis-nylon-sleeve-laptop-black-125742.html,https://media.banananina.id/catalog/product/0/0/00997662_d.jpg?v=e384b5c5747ccc7e1329d943518f7e5e&updated=2024-10-30 09:08:55,https://media.banananina.id/catalog/product/0/0/00997662_m.jpg?v=e384b5c5747ccc7e1329d943518f7e5e&updated=2024-10-30 09:08:55,ck074-ellis-nylon-sleeve-laptop-black-125742,BRAND NEW,"Made of nylon and leather. The bag features a zip closure that opens to suede lining with one zip compartment at front, two slip pockets.",Made In cambodia | Serial Number : CK074 | Gold-Tone Hardware | Zip Closure | Suede Lining | One Zip Compartment | Two Slip Pockets | Coach Metal Logo Lettering,Brand new,images\laptop\primary\CK074 Ellis Nylon Sleeve Laptop Black_primary.jpg,images\laptop\hover\CK074 Ellis Nylon Sleeve Laptop Black_hover.jpg
KATE SPADE,Staci Pansy Toss Printed Laptop Sleeve Blazer Blue Multi,IDR 2.150.000,,No discount,https://www.banananina.co.id/staci-pansy-toss-printed-laptop-sleeve-blazer-blue-multi-125133.html,https://media.banananina.id/catalog/product/0/1/01063976_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01063976_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,staci-pansy-toss-printed-laptop-sleeve-blazer-blue-multi-125133,BRAND NEW,"Made of saffiano PVC with polyester lining interior. It features an open zip closure, and metal logo lettering at top center.",Made in Philippines | Style number : KA535 | Open zip closure | Silver tone hardware,Brand new,images\laptop\primary\Staci Pansy Toss Printed Laptop Sleeve Blazer Blue Multi_primary.jpg,images\laptop\hover\Staci Pansy Toss Printed Laptop Sleeve Blazer Blue Multi_hover.jpg
