Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
COACH,CM198 Signature Disney Dempsey Carryall Khaki Redwood Multi,IDR 4.100.000,,No discount,https://www.banananina.co.id/bags/satchels/cm198-signature-disney-dempsey-carryall-khaki-redwood-multi-132044.html,https://media.banananina.id/catalog/product/0/1/01008891_d.jpg?v=a94bb0e3f5d9517a1e836da9f50cbaa6&updated=2024-12-06 12:47:28,https://media.banananina.id/catalog/product/0/1/01008891_m.jpg?v=a94bb0e3f5d9517a1e836da9f50cbaa6&updated=2024-12-06 12:47:28,cm198-signature-disney-dempsey-carryall-khaki-redwood-multi-132044,BRAND NEW,"Made of signature jacquard and refined pebble leather. The bag features a magnetic closure that opens to fabric lining with interior one zip pocket, two slip pockets, adjustable and removable long strap.",Made in Vietnam | Style Number CM198 | Old Brass English Tone Hardware | Signature Jacquard and Refined Pebble Leather | Magnetic Closure | Fabric Lining | Interior 1 Zip Pocket | Interior 2 Slip Pockets | Four Protective Metal Feet at Base | Adjustable and Removable Long Strap,New With Tag | Completeness: Long Strap,images\satchels\primary\CM198 Signature Disney Dempsey Carryall Khaki Redwood Multi_primary.jpg,images\satchels\hover\CM198 Signature Disney Dempsey Carryall Khaki Redwood Multi_hover.jpg
COACH,CH282 Crossgrain Rowan Satchel Citron,IDR 3.025.000,,No discount,https://www.banananina.co.id/checkout/cart/add/uenc/aHR0cHM6Ly93d3cuYmFuYW5hbmluYS5jby5pZC9iYWdzL3NhdGNoZWxzLmh0bWw_cD0x/product/132039/form_key/e0NTPCPmMENMqXJJ/,,,,,,,,,
KATE SPADE,Carey Smooth Quilted Sullivan Small Satchel Tiramisu Moose,IDR 3.000.000,,No discount,https://www.banananina.co.id/carey-smooth-quilted-sullivan-small-satchel-tiramisu-moose.html,https://media.banananina.id/catalog/product/0/1/01112174_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01112174_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,carey-smooth-quilted-sullivan-small-satchel-tiramisu-moose,BRAND NEW,Made of smooth quilted leather. The bag features a magnetic closure that opens to two way spade jacquard lining with interior one zip pocket.,Made in Vietnam | Style number KI849 | Light gold tone hardware | Smooth quilted leather | Magnetic closure | Two way spade jacquard lining | Interior 1 zip pocket | Adjustable and removable long strap | Kate spade metal logo lettering,Brand new,images\satchels\primary\Carey Smooth Quilted Sullivan Small Satchel Tiramisu Moose_primary.jpg,images\satchels\hover\Carey Smooth Quilted Sullivan Small Satchel Tiramisu Moose_hover.jpg
KATE SPADE,Madison Saffiano Small Satchel Candied Cherry,IDR 2.775.000,,No discount,https://www.banananina.co.id/bags/satchels/madison-saffiano-small-satchel-candied-cherry-132036.html,https://media.banananina.id/catalog/product/0/1/01002099_d.jpg?v=8bfb67c4973fcc8939b54028908cac5f&updated=2024-12-06 12:47:20,https://media.banananina.id/catalog/product/0/1/01002099_m.jpg?v=8bfb67c4973fcc8939b54028908cac5f&updated=2024-12-06 12:47:20,madison-saffiano-small-satchel-candied-cherry-132036,BRAND NEW,"Made of saffiano leather. The bag features a zip closure that opens to polyester lining with one zip pocket, one slip pocket, exterior one slip pocket at front, double handles drop 9 cm, adjustable and removable long strap.",Made in Indonesia | Style Number : KC437 | Gold Tone Hardware | Zip Closure | Polyester Lining | One Slip Pocket | One Zip Pocket | One Slip Pocket at Front | Adjustable and Removable Long Strap | Metal Pinmount Logo,New With Tag | Completeness: Long Strap,images\satchels\primary\Madison Saffiano Small Satchel Candied Cherry_primary.jpg,images\satchels\hover\Madison Saffiano Small Satchel Candied Cherry_hover.jpg
COACH,CA224 Alice Crossgrain Satchel Watermelon,IDR 2.400.000,,No discount,https://www.banananina.co.id/bags/satchels/ca224-alice-crossgrain-satchel-watermelon-132024.html,https://media.banananina.id/catalog/product/0/0/00902792_m.jpg?v=7a845c70fd9f0701b3d263f209fe572e&updated=2024-12-06 12:47:14,https://media.banananina.id/catalog/product/0/0/00902792_s.jpg?v=7a845c70fd9f0701b3d263f209fe572e&updated=2024-12-06 12:47:14,ca224-alice-crossgrain-satchel-watermelon-132024,BRAND NEW,"Made of crossgrain leather. The bag features a zip closure that opens to fabric lining with one slip pocket, double handles drop 11 cm, adjustable and removable long strap.",Made In Cambodia | Serial Number : CA224 | Gold Tone Hardware | Fabric Lining | Zip Closure | One Slip Pocket | Double Handles Drop 11 cm | Adjustable And Removable Long Strap | Coach Metal Logo Lettering,New With Tag | Completeness: Long Strap,images\satchels\primary\CA224 Alice Crossgrain Satchel Watermelon_primary.jpg,images\satchels\hover\CA224 Alice Crossgrain Satchel Watermelon_hover.jpg
MICHAEL KORS,Hadleigh Leather Small Double Handle Messenger Tote Bright Terracotta,IDR 2.125.000,,No discount,https://www.banananina.co.id/bags/satchels/hadleigh-leather-small-double-handle-messenger-tote-bright-terracotta-132021.html,https://media.banananina.id/catalog/product/0/1/01001754_d.jpg?v=9fa9b2b9c8a244e9c67c24e0d182d6e9&updated=2024-12-06 12:47:13,https://media.banananina.id/catalog/product/0/1/01001754_m.jpg?v=9fa9b2b9c8a244e9c67c24e0d182d6e9&updated=2024-12-06 12:47:13,hadleigh-leather-small-double-handle-messenger-tote-bright-terracotta-132021,BRAND NEW,"Made of pebble leather. The bag features a magnetic snap closure that opens fabric lining with interior one card slots, double handles drop 9 cm, adjustable and removable long strap.",Made In Cambodia | Serial Number : 38F3G8FT5L | Gold-Tone Hardware | Magnetic Snap Closure | Fabric Lining | One Card Slots | Double Handle Drop 9 cm | Removable and Removable Long Strap,New With Tag | Completeness: Long Strap,images\satchels\primary\Hadleigh Leather Small Double Handle Messenger Tote Bright Terracotta_primary.jpg,images\satchels\hover\Hadleigh Leather Small Double Handle Messenger Tote Bright Terracotta_hover.jpg
COACH,CM862 Disney Rowan Leather Satchel Electric Red Multi,IDR 3.625.000,,No discount,https://www.banananina.co.id/bags/satchels/cm862-disney-rowan-leather-satchel-electric-red-multi-131961.html,https://media.banananina.id/catalog/product/0/1/01008785_d.jpg?v=c0f7759c22a2a23360ee07d6e4c0ec62&updated=2024-12-05 09:57:52,https://media.banananina.id/catalog/product/0/1/01008785_m.jpg?v=c0f7759c22a2a23360ee07d6e4c0ec62&updated=2024-12-05 09:57:52,cm862-disney-rowan-leather-satchel-electric-red-multi-131961,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to fabric lining with interior one zip pocket, one slip pocket and exterior one zip pocket at back, adjustable and removable long strap.",Made in Vietnam | Style Number CM862 | Old Brass English Tone Hardware | Pebble Leather | Zip Closure | Fabric Lining | Interior 1 Zip Pocket | Interior 1 Slip Pocket | Exterior 1 Zip Pocket at Back | Adjustable and Removable Long Strap | Coach Metal Logo Lettering | Four Protective Metal Feet at Base,New With Tag | Completeness: Long Strap,images\satchels\primary\CM862 Disney Rowan Leather Satchel Electric Red Multi_primary.jpg,images\satchels\hover\CM862 Disney Rowan Leather Satchel Electric Red Multi_hover.jpg
MICHAEL KORS,Hadleigh Leather Small Double Handle Messenger Tote Luggage,IDR 2.125.000,,No discount,https://www.banananina.co.id/bags/satchels/hadleigh-leather-small-double-handle-messenger-tote-luggage.html,https://media.banananina.id/catalog/product/0/1/01002778_d.jpg?v=fbcfe71504153f6c0fb44a848d5f8082&updated=2024-12-05 09:57:44,https://media.banananina.id/catalog/product/0/1/01002778_m.jpg?v=fbcfe71504153f6c0fb44a848d5f8082&updated=2024-12-05 09:57:44,hadleigh-leather-small-double-handle-messenger-tote-luggage,BRAND NEW,Made of pebble leather. The bag features a magnetic snap closure that opens fabric lining with interior one card slots.,Made In Cambodia | Serial Number : 38F3G8FT5L | Gold-Tone Hardware | Magnetic Snap Closure | Fabric Lining | One Card Slots | Double Handle Drop 9cm | Removable and Removable Long Strap,New With Tag | Completeness: Long Strap,images\satchels\primary\Hadleigh Leather Small Double Handle Messenger Tote Luggage_primary.jpg,images\satchels\hover\Hadleigh Leather Small Double Handle Messenger Tote Luggage_hover.jpg
KATE SPADE,Leila Medium Triple Compartment Satchel Black Gold,IDR 4.150.000,,No discount,https://www.banananina.co.id/leila-medium-triple-compartment-satchel-black-gold.html,https://media.banananina.id/catalog/product/0/1/01015891_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01015891_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,leila-medium-triple-compartment-satchel-black-gold,BRAND NEW,"Crafted of pebble leather, the bag features two large partitions with magnetic closures, a center zip compartment, two way spade jacquard lining, a zip wall pocket, and two slip pockets. It comes with an optional long strap.",Made in Indonesia | Style Number WKR00335 | Light Gold Tone Hardware | Adjustable & Removable Long Strap | Kate Spade Metal Logo Lettering | 4 Metal Protective Feet,New with Tag | Completeness: Long Strap,images\satchels\primary\Leila Medium Triple Compartment Satchel Black Gold_primary.jpg,images\satchels\hover\Leila Medium Triple Compartment Satchel Black Gold_hover.jpg
KATE SPADE,Kyla Large Satchel Black,IDR 3.900.000,,No discount,https://www.banananina.co.id/bags/satchels/kyla-large-satchel-black-131802.html,https://media.banananina.id/catalog/product/0/1/01102310_d.jpg?v=37a4182e5b3a4209b0f74160ad993106&updated=2024-12-04 02:43:44,https://media.banananina.id/catalog/product/0/0/001102310_m.jpg?v=37a4182e5b3a4209b0f74160ad993106&updated=2024-12-04 02:43:44,kyla-large-satchel-black-131802,BRAND NEW,Crafted from pebbled leather. The bag features double handles with jacquard lining with interior one zip pocket and one slip pocket.,Made in Cambodia | Style number KF526 | Light gold tone hardware | Zip closure | 11-14 cm handle drop | Interior 1 zip pocket | Interior 1 slip pocket | Removable and adjustable long strap,New with Tag,images\satchels\primary\Kyla Large Satchel Black_primary.jpg,images\satchels\hover\Kyla Large Satchel Black_hover.jpg
