Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
TORY BURCH,Kira Chevron Convertible Shoulder Bag Devon Sand,IDR 6.800.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/kira-chevron-convertible-shoulder-bag-devon-sand-132049.html,https://media.banananina.id/catalog/product/0/1/01085372_d.jpg?v=e907b27e19cc855a66e4617121aaa1d4&updated=2024-12-06 12:47:31,https://media.banananina.id/catalog/product/0/1/01085372_m.jpg?v=e907b27e19cc855a66e4617121aaa1d4&updated=2024-12-06 12:47:31,kira-chevron-convertible-shoulder-bag-devon-sand-132049,BRAND NEW,"The Kira Convertible Shoulder Bag is made of soft chevron-quilted leather with beveled Double T hardware. An adjustable chain strap adapts in the moment doubled over the shoulder, or long and crossbody.",Made in Vietnam | Style Number 58465 | Gold tone hardware | Leather material | Magnetic snap closure | Adjustable metal chain strap with 50 cm drop | Leather shoulder guard for comfort. | 2 interior zipper pockets | May be carried as a shoulder bag or crossbody | Rolled Brass Hardware,New With Tag,images\shoulder\primary\Kira Chevron Convertible Shoulder Bag Devon Sand_primary.jpg,images\shoulder\hover\Kira Chevron Convertible Shoulder Bag Devon Sand_hover.jpg
TORY BURCH,Kira Chevron Convertible Shoulder Bag Meadowsweet,IDR 6.800.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/kira-chevron-convertible-shoulder-bag-meadowsweet-132048.html,https://media.banananina.id/catalog/product/0/0/00908785_i.jpg?v=e907b27e19cc855a66e4617121aaa1d4&updated=2024-12-06 12:47:31,https://media.banananina.id/catalog/product/0/0/00908785_i.jpg?v=e907b27e19cc855a66e4617121aaa1d4&updated=2024-12-06 12:47:31,kira-chevron-convertible-shoulder-bag-meadowsweet-132048,BRAND NEW,"The Kira Convertible Shoulder Bag is made of soft chevron-quilted leather with beveled Double T hardware. An adjustable chain strap adapts in the moment doubled over the shoulder, or long and crossbody.",Made in Vietnam | Style Number : 58465 687 687 | Rolled Brass Hardware | Magnetic Snap Closure | Fabric Lining | Two Card Slots | Two Zip Pockets | Adjustable Metal Chain Strap,New With Tag,images\shoulder\primary\Kira Chevron Convertible Shoulder Bag Meadowsweet_primary.jpg,images\shoulder\hover\Kira Chevron Convertible Shoulder Bag Meadowsweet_hover.jpg
KATE SPADE,Kayla Small Convertible Shoulder Bag Dark Raspberry,IDR 2.700.000,,No discount,https://www.banananina.co.id/kayla-small-convertible-shoulder-bag-dark-raspberry.html,https://media.banananina.id/catalog/product/0/1/01112198_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01112198_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,kayla-small-convertible-shoulder-bag-dark-raspberry,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to two way script logo lining with interior one zip pocket, one slip pocket.",Made in cambodia | Style number KI904 | Gold tone hardware | Pebble leather | Zip closure | Two way script logo lining | Interior 1 zip pocket | Interior 1 slip pocket | Adjustable and removable long strap | Removable shoulder strap,New With Tag,images\shoulder\primary\Kayla Small Convertible Shoulder Bag Dark Raspberry_primary.jpg,images\shoulder\hover\Kayla Small Convertible Shoulder Bag Dark Raspberry_hover.jpg
KATE SPADE,Kayla Small Convertible Shoulder Bag Warm Gingerbread,IDR 2.700.000,,No discount,https://www.banananina.co.id/kayla-small-convertible-shoulder-bag-warm-gingerbread.html,https://media.banananina.id/catalog/product/0/1/01112181_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01112181_m.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,kayla-small-convertible-shoulder-bag-warm-gingerbread,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to two way script logo lining with interior one zip pocket, one slip pocket.",Made in cambodia | Style number KI904 | Gold tone hardware | Pebble leather | Zip closure | Two way script logo lining | Interior 1 zip pocket | Interior 1 slip pocket | Adjustable and removable long strap | Removable shoulder strap,New With Tag,images\shoulder\primary\Kayla Small Convertible Shoulder Bag Warm Gingerbread_primary.jpg,images\shoulder\hover\Kayla Small Convertible Shoulder Bag Warm Gingerbread_hover.jpg
MICHAEL KORS,Signature Jet Set Travel Large Chain Shoulder Tote Brown,IDR 2.500.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/signature-jet-set-travel-large-chain-shoulder-tote-brown-132026.html,https://media.banananina.id/catalog/product/0/1/01017235_d.jpg?v=fa6429d98e3956dba767f36025046054&updated=2024-12-06 12:47:15,https://media.banananina.id/catalog/product/0/1/01017235_m.jpg?v=fa6429d98e3956dba767f36025046054&updated=2024-12-06 12:47:15,signature-jet-set-travel-large-chain-shoulder-tote-brown-132026,BRAND NEW,"Crafted of signature coated canvas with saffiano trim. The bag features double chain handles, a zip closure, a logo polyester lining with a zip pocket. It also has two exterior side pockets.",Made in Cambodia | Serial Number 35S4GTVT3B | Gold Tone Hardware | Zip Closure | Polyester Lining | 1 Zip Pocket | 2 Side Pockets | Michael Kors Metal Logo,New With Tag,images\shoulder\primary\Signature Jet Set Travel Large Chain Shoulder Tote Brown_primary.jpg,images\shoulder\hover\Signature Jet Set Travel Large Chain Shoulder Tote Brown_hover.jpg
TORY BURCH,Fleming Small Convertible Shoulder Bag Cloud Blue,IDR 6.000.000,,No discount,https://www.banananina.co.id/fleming-small-convertible-shoulder-bag-cloud-blue.html,https://media.banananina.id/catalog/product/0/1/01111761_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01111761_s.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,fleming-small-convertible-shoulder-bag-cloud-blue,BRAND NEW,"Crafted of quilted leather. The bag features a magnetic flap closure that opens to fabric lining with interior one zip pocket, two slip pockets and exterior one slip pocket at back.",Made in China | Serial number 75576 0523 023 | Silver-tone hardware | Quilted leather | Magnetic flap closure | Fabric lining | Interior 1 zip pocket | Interior 2 slip pockets | Exterior 1 slip pocket at back | Tassel hanging tag | Adjustable long strap,New With Tag,images\shoulder\primary\Fleming Small Convertible Shoulder Bag Cloud Blue_primary.jpg,images\shoulder\hover\Fleming Small Convertible Shoulder Bag Cloud Blue_hover.jpg
COACH,CM556 Signature Patent Tabby 20 Shoulder Bag Chalk,IDR 5.300.000,,No discount,https://www.banananina.co.id/cm556-signature-patent-tabby-20-shoulder-bag-chalk.html,https://media.banananina.id/catalog/product/0/1/01111754_d.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,https://media.banananina.id/catalog/product/0/1/01111754_s.jpg?v=02aba98ffebc7848559dbd36b6e7db46&updated=2024-12-08,cm556-signature-patent-tabby-20-shoulder-bag-chalk,BRAND NEW,"Made of signature patent leather. The bag features a magnetic button closure that opens to suede lining with interior middle zip pocket, one slip pocket at front and exterior one slip pocket at back.",Made in cambodia | Style number CM556 | Old brass english tone hardware | Signature patent leather | Magnetic button clousre | Suede lining | Interior middle zip pocket | Interior 1 slip pocket at front | Exterior 1 slip pocket at back | Adjustable and removable long strap | Removable shoulder strap,New With Tag,images\shoulder\primary\CM556 Signature Patent Tabby 20 Shoulder Bag Chalk_primary.jpg,images\shoulder\hover\CM556 Signature Patent Tabby 20 Shoulder Bag Chalk_hover.jpg
COACH,X Disney CM858 Leather Teri Shoulder Bag Light Blush Multi,IDR 3.300.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/x-disney-cm858-leather-teri-shoulder-bag-light-blush-multi-131959.html,https://media.banananina.id/catalog/product/0/0/001014341_d.jpg?v=ce607825c20f0fa781234ac8c8485c45&updated=2024-12-06 02:31:41,https://media.banananina.id/catalog/product/0/1/01014341_m.jpg?v=ce607825c20f0fa781234ac8c8485c45&updated=2024-12-06 02:31:41,x-disney-cm858-leather-teri-shoulder-bag-light-blush-multi-131959,BRAND NEW,"Made of pebbled leather. The bag features a zip closure that opens to fabric lining with two card slots, one slip pocket, removable shoulder strap, adjustable/removable long strap.",Made In Vietnam | Serial Number : CM858 | Old-Brass Hardware | Zip Closure | Fabric Lining | Two Card Slots | One Slip Pocket | Removable Shoulder Strap | Adjustable/Removable Long Strap | Coach Metal Logo Lettering,New With Tag | Completeness: Long Strap,images\shoulder\primary\X Disney CM858 Leather Teri Shoulder Bag Light Blush Multi_primary.jpg,images\shoulder\hover\X Disney CM858 Leather Teri Shoulder Bag Light Blush Multi_hover.jpg
COACH,CJ864 Mara Hobo Light Raspberry Multi,IDR 3.150.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/cj864-mara-hobo-light-raspberry-multi.html,https://media.banananina.id/catalog/product/0/0/00997761_d.jpg?v=8d4a964d1e420c1745391db52ad287cb&updated=2024-12-05 09:57:48,https://media.banananina.id/catalog/product/0/0/00997761_m.jpg?v=8d4a964d1e420c1745391db52ad287cb&updated=2024-12-05 09:57:48,cj864-mara-hobo-light-raspberry-multi,BRAND NEW,"Made of pebble leather. The bag features a zip closure that opens to fabric lining with interior one zip pocket, two slip pockets and exterior one zip pocket at back.",Made in Vietnam | Style number CJ864 | Silver tone hardware | Pebble leather | Zip closure | Fabric lining | Interior 1 zip pocket | Interior 2 slip pockets | Exterior 1 zip pocket at back | Adjustable and removable long strap | Coach metal logo lettering,New With Tag | Completeness: Long Strap,images\shoulder\primary\CJ864 Mara Hobo Light Raspberry Multi_primary.jpg,images\shoulder\hover\CJ864 Mara Hobo Light Raspberry Multi_hover.jpg
COACH,CK161 Signature Teri Hobo Khaki Cerise Gold,IDR 3.200.000,,No discount,https://www.banananina.co.id/bags/shoulder-bags/ck161-signature-teri-hobo-khaki-cerise-gold-131892.html,https://media.banananina.id/catalog/product/0/1/01004303_d.jpg?v=d9b71bd141d081bb08028d6dadc1f7c0&updated=2024-12-05 01:56:59,https://media.banananina.id/catalog/product/0/0/001004303_m.jpg?v=d9b71bd141d081bb08028d6dadc1f7c0&updated=2024-12-05 01:56:59,ck161-signature-teri-hobo-khaki-cerise-gold-131892,BRAND NEW,"Made of coated canvas and leather. The bag features a zip closure that opens to fabric lining with one slip pocket, one zip pocket, removable shoulder strap, adjustable and removable long strap.",Made In Cambodia | Serial Number : CK161 | Gold-Tone Hardware | Zip Closure | Fabric Lining | One Zip Pocket | One Slip Pocket | One Zip Pocket at Back | Removable Shoulder Strap | Adjustable and Removable Long Strap | Coach Metal Logo Lettering,New With Tag | Completeness: Long Strap,images\shoulder\primary\CK161 Signature Teri Hobo Khaki Cerise Gold_primary.jpg,images\shoulder\hover\CK161 Signature Teri Hobo Khaki Cerise Gold_hover.jpg
