Brand,Name,Price,Original Price,Discount,Product Link,Primary Image,Hover Image,SKU,Quality,Description,Details,Condition,Primary Image Local Path,Hover Image Local Path
COACH,CM843 Disney Leather Dempsey Tote 22 Chalk Multi,IDR 3.500.000,,No discount,https://www.banananina.co.id/bags/totes/cm843-disney-leather-dempsey-tote-22-chalk-multi.html,https://media.banananina.id/catalog/product/0/1/01009051_d.jpg?v=6dc80280a264665f537d2dff892aa274&updated=2024-12-06 12:47:26,https://media.banananina.id/catalog/product/0/1/01009051_m.jpg?v=6dc80280a264665f537d2dff892aa274&updated=2024-12-06 12:47:26,cm843-disney-leather-dempsey-tote-22-chalk-multi,BRAND NEW,"Made of smooth leather. The bag features a magnetic closure that opens to fabric lining with interior one zip pocket, one slip pocket.",Made in Vietnam | Style Number CM843 | Smooth Leather | Old Brass English Tone Hardware | Magnetic Closure | Fabric Lining | 1 Zip Pocket | 1 Slip Pocket | Adjustable and Removable Long Strap | Coach Metal Logo Lettering | Four Protective Metal Feet at Base,New With Tag | Completeness: Long Strap,images\totes\primary\CM843 Disney Leather Dempsey Tote 22 Chalk Multi_primary.jpg,images\totes\hover\CM843 Disney Leather Dempsey Tote 22 Chalk Multi_hover.jpg
COACH,CJ578 Signature Dempsey Jacquard Carryall Rainbow Tote Khaki Multi,IDR 3.225.000,,No discount,https://www.banananina.co.id/bags/totes/cj578-signature-dempsey-jacquard-carryall-rainbow-tote-khaki-multi-132041.html,https://media.banananina.id/catalog/product/0/0/00970655_d.jpg?v=0dbc8b5ac0ae594a8965e1fd52feb371&updated=2024-12-06 12:47:25,https://media.banananina.id/catalog/product/0/0/00970655_m.jpg?v=0dbc8b5ac0ae594a8965e1fd52feb371&updated=2024-12-06 12:47:25,cj578-signature-dempsey-jacquard-carryall-rainbow-tote-khaki-multi-132041,BRAND NEW,"Made of signature jacquard and leather. The bag features a snap button closure that opens to fabric lining with two slip pockets, one zip pocket, double handle drop 15 cm, adjustable and removable long strap.",Made In Philippines | Serial Number : CJ578 | Silver-Tone Hardware | Snap Button Closure | Fabric Lining | Two Slip Pockets | One Zip Pocket | Double Handle Drop 15 cm | Adjustable/Removable Long Strap | Four Protective Metal Feet At Base,New With Tag | Completeness: Long Strap,images\totes\primary\CJ578 Signature Dempsey Jacquard Carryall Rainbow Tote Khaki Multi_primary.jpg,images\totes\hover\CJ578 Signature Dempsey Jacquard Carryall Rainbow Tote Khaki Multi_hover.jpg
COACH,C4084 Mollie Tote 25 Electric Blue,IDR 2.900.000,,No discount,https://www.banananina.co.id/bags/totes/c4084-mollie-tote-25-electric-blue-126504.html,https://media.banananina.id/catalog/product/0/0/00984518_d6.jpg?v=49c978c1dd1d5b5029ae6a146d7bf982&updated=2024-08-29 09:58:34,https://media.banananina.id/catalog/product/0/0/00984518_m6.jpg?v=49c978c1dd1d5b5029ae6a146d7bf982&updated=2024-08-29 09:58:34,c4084-mollie-tote-25-electric-blue-126504,BRAND NEW,"Crafted in double face crossgrain leather. An open top leads to two partitions separated by middle zipper pocket. It features crossgrain leather and fabric lining in prettiest mixed of two color, also an optional long strap.",Made in Philippines | Style Number : C4084 | Silver Tone Hardware | Double Face Crossgrain Leather | Zip Top Closure | Fabric Lining | Side Open Compartments | Handles with 12 cm drop | Removable and Adjustable Long Strap | Coach Metal Logo Lettering,New With Tag,images\totes\primary\C4084 Mollie Tote 25 Electric Blue_primary.jpg,images\totes\hover\C4084 Mollie Tote 25 Electric Blue_hover.jpg
MICHAEL KORS,Charlotte Large Zip Tote Luggage,IDR 2.300.000,,No discount,https://www.banananina.co.id/bags/totes/charlotte-large-zip-tote-luggage-132023.html,https://media.banananina.id/catalog/product/0/0/00729563_d.jpg?v=7a845c70fd9f0701b3d263f209fe572e&updated=2024-12-06 12:47:14,https://media.banananina.id/catalog/product/0/0/00729563_s.jpg?v=7a845c70fd9f0701b3d263f209fe572e&updated=2024-12-06 12:47:14,charlotte-large-zip-tote-luggage-132023,BRAND NEW,"Crafted of saffiano leather. The bag features double handles, a top zip closure, polyester lining with a zip pocket. It also has two exterior side pockets.",Made in Indonesia | Serial Number 35T0GCFT7L | Gold Tone Hardware | Polyester Lining | One Zip Pocket | Two Side Pockets | Handle Drop 24 cm | Michael Kors Metal Logo,New With Tag,images\totes\primary\Charlotte Large Zip Tote Luggage_primary.jpg,images\totes\hover\Charlotte Large Zip Tote Luggage_hover.jpg
COACH,CM199 Signature Disney Dempsey Tote 22 Khaki Redwood Multi,IDR 3.750.000,,No discount,https://www.banananina.co.id/bags/totes/cm199-signature-disney-dempsey-tote-22-khaki-redwood-multi-131962.html,https://media.banananina.id/catalog/product/0/0/001009037_d.jpg?v=3d3a7bdcb355ab575a9f3005bd9d7aae&updated=2024-12-06 02:47:46,https://media.banananina.id/catalog/product/0/1/01009037_m.jpg?v=3d3a7bdcb355ab575a9f3005bd9d7aae&updated=2024-12-06 02:47:46,cm199-signature-disney-dempsey-tote-22-khaki-redwood-multi-131962,BRAND NEW,"Made of signature jacquard and refined pebble leather. The bag features a magnetic closure that opens to fabric lining with interior one zip pocket, one slip pocket.",Made in Vietnam | Style Number CM199 | Old-Brass English Tone Hardware | Signature Jacquard and Refined Pebble Leather | Fabric Lining | Interior 1 Zip Pocket | Interior 1 Slip Pocket | Adjustable and Removable Long Strap | Four Protective Metal Feet at Base,New With Tag | Completeness: Long Strap,images\totes\primary\CM199 Signature Disney Dempsey Tote 22 Khaki Redwood Multi_primary.jpg,images\totes\hover\CM199 Signature Disney Dempsey Tote 22 Khaki Redwood Multi_hover.jpg
COACH,CM844 Disney Leather Dempsey Tote 22 Dark Pine Multi,IDR 3.500.000,,No discount,https://www.banananina.co.id/bags/totes/cm844-disney-leather-dempsey-tote-22-dark-pine-multi-131960.html,https://media.banananina.id/catalog/product/0/0/001009013_d.jpg?v=9f402da3a8a766f9d325d4baf615cfcb&updated=2024-12-06 02:15:48,https://media.banananina.id/catalog/product/0/1/01009013_m.jpg?v=9f402da3a8a766f9d325d4baf615cfcb&updated=2024-12-06 02:15:48,cm844-disney-leather-dempsey-tote-22-dark-pine-multi-131960,BRAND NEW,"Made of smooth leather. The bag features a magnetic closure that opens to fabric lining with interior one zip pocket, one slip pocket, adjustable and removable long strap, double handles strap drop 11 cm.",Made in Vietnam | Style Number CM844 | Smooth Leather | Old Brass English Tone Hardware | Magnetic Closure | Fabric Lining | Interior 1 Zip Pocket | Interior 1 Slip Pocket | Adjustable and Removable Long Strap | Coach Metal Logo Lettering | Four Protective Metal Feet at Base,New With Tag | Completeness: Long Strap,images\totes\primary\CM844 Disney Leather Dempsey Tote 22 Dark Pine Multi_primary.jpg,images\totes\hover\CM844 Disney Leather Dempsey Tote 22 Dark Pine Multi_hover.jpg
MICHAEL KORS,Signature Graham Top Zip Large Tote Bag Black,IDR 2.875.000,,No discount,https://www.banananina.co.id/bags/totes/signature-graham-top-zip-large-tote-bag-black-131951.html,https://media.banananina.id/catalog/product/0/1/01009211_d.jpg?v=47489d697c4a0c841d7fd93b5de00b2d&updated=2024-12-05 09:57:46,https://media.banananina.id/catalog/product/0/1/01009211_m.jpg?v=47489d697c4a0c841d7fd93b5de00b2d&updated=2024-12-05 09:57:46,signature-graham-top-zip-large-tote-bag-black-131951,BRAND NEW,"Made of signature coated canvas and smooth leather. The bag features a zip closure that opens to polyester lining with interior one zip pocket, one slip pocket and exterior one slip pocket with magnetic closure at front.",Made in indonesia | Style number 38F3G7GT3B | Silver tone hardware | Signature coated canvas and smooth leather | Zip closure | Polyester lining | Interior 1 zip pocket | Interior 1 slip pocket | Exterior 1 slip pocket with magnetic closure at front | Michael kors metal logo lettering | Handle drop 23.5 Cm,New With Tag,images\totes\primary\Signature Graham Top Zip Large Tote Bag Black_primary.jpg,images\totes\hover\Signature Graham Top Zip Large Tote Bag Black_hover.jpg
TORY BURCH,Emerson Small Tote Black Gold,IDR 5.000.000,,No discount,https://www.banananina.co.id/bags/totes/emerson-small-tote-black-gold.html,https://media.banananina.id/catalog/product/0/0/001094532_d.jpg?v=41913d846d9e8349b849692933e68f80&updated=2024-10-11 09:46:24,https://media.banananina.id/catalog/product/0/1/01094532_s.jpg?v=41913d846d9e8349b849692933e68f80&updated=2024-10-11 09:46:24,emerson-small-tote-black-gold,BRAND NEW,"Made of saffiano leather. The bag features a zip closure that opens to canvas lining with one zip pocket, one slip pocket, exterior one slip pocket at back, adjustable and removable long strap.",Made In Cambodia | Serial Number : 136091 0522 001 | Gold tone hardware | Saffiano Leather Material | Zip Closure | Canvas Lining | One Zip Pocket | One Slip Pocket | Exterior One Slip Pocket At Back | Double Handles | Adjustable and Removable Long Strap,Brand new,images\totes\primary\Emerson Small Tote Black Gold_primary.jpg,images\totes\hover\Emerson Small Tote Black Gold_hover.jpg
TORY BURCH,Emerson Small Tote Tory Navy,IDR 6.000.000,,No discount,https://www.banananina.co.id/bags/totes/emerson-small-tote-tory-navy-131901.html,https://media.banananina.id/catalog/product/0/0/00902860_d.jpg?v=42eee9805d3c35e9b2e9f268c1b51c95&updated=2024-12-04 09:46:27,https://media.banananina.id/catalog/product/0/0/00902860_m.jpg?v=42eee9805d3c35e9b2e9f268c1b51c95&updated=2024-12-04 09:46:27,emerson-small-tote-tory-navy-131901,BRAND NEW,"Made of saffiano leather. The bag features a zip closure that opens to canvas lining with one zip pocket, one slip pocket, exterior one slip pocket at back, adjustable and removable long strap.",Made In Vietnam | Serial Number : 136091 0522 405 | Old Brass Hardware | Saffiano Leather Material | Zip Closure | Canvas Lining | One Zip Pocket | One Slip Pocket | One Slip Pocket At Back | Double Handles | Adjustable and Removable Long Strap,New With Tag,images\totes\primary\Emerson Small Tote Tory Navy_primary.jpg,images\totes\hover\Emerson Small Tote Tory Navy_hover.jpg
TORY BURCH,Perry Small Triple Compartment Tote Light Umber Grey,IDR 6.500.000,,No discount,https://www.banananina.co.id/bags/totes/perry-small-triple-compartment-tote-light-umber-grey-131818.html,https://media.banananina.id/catalog/product/0/0/00736297_d6.jpg?v=fe07cae61d215a7b44da88f8c3e328ad&updated=2024-12-04 02:05:56,https://media.banananina.id/catalog/product/0/0/00736297_m6.jpg?v=fe07cae61d215a7b44da88f8c3e328ad&updated=2024-12-04 02:05:56,perry-small-triple-compartment-tote-light-umber-grey-131818,BRAND NEW,The Perry Triple Compartment tote is made of fine pebble leather and features internal contrast and colorful logo charms. There is a zipper pocket in the middle and comes with a crossbody strap.,Made in Cambodia | Serial number 81928 0521 905 | Open top with magnetic snap closure | Removable logo charm | Interior 1 zip pocket | Interior 1 slip pocket | Four Protective Metal Feet At Base | Adjustable & removable crossbody strap | Tory Burch foil logo lettering,Brand new,images\totes\primary\Perry Small Triple Compartment Tote Light Umber Grey_primary.jpg,images\totes\hover\Perry Small Triple Compartment Tote Light Umber Grey_hover.jpg
